"review_shop_id","review_id","shop_id","member_id","parent_id","service_score","taste_score","value_score","appearance_score","environment_score","description","created_on","updated_on"
"11","17","3","9","0","1","1","1","1","1",,"2019-06-06 14:53:25","2019-06-06 14:53:25"
"12","17","5","9","0","1","1","1","1","1","<p>kgd''aas<img src=""https://images.foodies.guru/undefined"" alt=""d"" /></p>
<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 100%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">hhhh</td>
</tr>
</tbody>
</table>
<p>kkkk</p>
<div style=""text-align: center; display: block;"">
<table class=""banner_200_200"" style=""display: inline-block;"">
<tbody>
<tr>
<td style=""width: 200px; height: 200px; background-color: #ccc; text-align: center;"" width=""200px"" height=""200px"">200px*200px</td>
</tr>
</tbody>
</table>
</div>
<p>&nbsp;</p>
<div class=""banner_800_160-wrapper"">
<table class=""banner_800_160"" style=""display: inline-block;"">
<tbody>
<tr>
<td style=""width: 800px; height: 160px; background-color: #ccc; text-align: center;"" width=""800px"" height=""160px"">800px*160</td>
</tr>
</tbody>
</table>
</div>
<p>jhgfty</p>","2019-06-06 14:53:25","2019-06-06 14:53:25"
"13","17","9","9","0","1","1","1","1","1",,"2019-06-06 14:53:25","2019-06-06 14:53:25"
"14","18","10","5","0","3","3","3","3","3","<p>ทดสอบ</p>
<p><img src=""null"" alt=""ทดสอบ"" /></p>","2019-06-06 14:58:56","2019-06-06 14:58:56"
"15","21","4","5","0","3","1","1","1","1","<p><img src=""null"" alt=""พระ"" /></p>","2019-06-06 18:13:40","2019-06-06 18:13:40"
"16","22","2","4","0","5","5","4","5","5","<p>very good</p>","2019-06-07 19:12:50","2019-06-07 19:12:50"
"17","23","1","3","0","4","3","4","1","1","<p><strong>test</strong></p>","2019-06-08 12:35:36","2019-06-08 12:35:36"
"18","24","4","5","0","3","2","3","4","2","<p><img src=""null"" alt=""วิว"" /></p>
<p>&nbsp;</p>
<p><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">Promotion&nbsp;</span><strong style=""color: #6a6a6a; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">Implant</strong><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">&nbsp;with Ceramic Crown 49,500 Baht. By&nbsp;</span><strong style=""color: #6a6a6a; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">Implant</strong><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">&nbsp;Specialist and 3D&nbsp;</span><strong style=""color: #6a6a6a; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">CT</strong><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">-</span><strong style=""color: #6a6a6a; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">Scan</strong><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">. Standard Worldwide&nbsp;</span><strong style=""color: #6a6a6a; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">Implant</strong><span style=""color: #545454; font-family: arial, sans-serif; font-size: small; background-color: #ffffff;"">&nbsp;System. Located in the heart of Bangkok. Near BTS Thong Lo. Standard Sterilization. Free Consultation. InvisalignDiamondProvider. Near BTS Thonglo.</span></p>","2019-06-09 09:51:08","2019-06-09 09:51:08"
"19","28","1","3","0","5","5","5","5","5","<p>ทดสอบการีวิว</p>","2019-06-10 10:46:46","2019-06-10 10:46:46"
"20","28","2","3","0","2","3","4","4","3","<p>ทดสอบร้านที่ 2</p>","2019-06-10 10:46:46","2019-06-10 10:46:46"
"21","31","16","1","0","1","1","1","1","1",,"2019-06-11 15:23:09","2019-06-11 15:23:09"
"22","32","1","1","0","1","1","1","1","1",,"2019-06-11 15:25:49","2019-06-11 15:25:49"
"23","33","1","1","0","1","1","1","1","1",,"2019-06-11 19:02:21","2019-06-11 19:02:21"
"24","34","16","1","0","1","1","3","2","1",,"2019-06-11 19:15:07","2019-06-11 19:15:07"
"25","35","1","1","0","1","1","1","1","1","<p>warsfaewasfwe</p>","2019-06-11 19:51:41","2019-06-11 19:51:41"
"26","36","16","1","0","3","1","4","3","1","<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 90%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">ddddd</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<h2 style=""margin: 0px 0px 10px; padding: 0px; font-weight: 400; line-height: 24px; font-family: DauphinPlain; font-size: 24px; color: #000000; background-color: #ffffff;"">hat is Lorem Ipsum?</h2>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;""><strong style=""margin: 0px; padding: 0px;"">Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMa</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>
<p style=""margin: 0px 0px 15px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""../static/upload/1560257599128.png"" alt=""we"" /></p>","2019-06-11 19:53:34","2019-06-11 19:53:34"
"27","37","48","1","0","3","5","3","3","5","<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""../static/upload/1560257767099.jpg"" alt=""e"" /></p>
<p>&nbsp;</p>
<h2 style=""margin: 0px 0px 10px; padding: 0px; font-weight: 400; line-height: 24px; font-family: DauphinPlain; font-size: 24px; color: #000000; background-color: #ffffff;"">hat is Lorem Ipsum?</h2>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;""><strong style=""margin: 0px; padding: 0px;"">Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMa</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>","2019-06-11 19:57:30","2019-06-11 19:57:30"
"28","37","28","1","0","3","4","1","2","5","<h2 style=""margin: 0px 0px 10px; padding: 0px; font-weight: 400; line-height: 24px; font-family: DauphinPlain; font-size: 24px; color: #000000; background-color: #ffffff;"">hat is Lorem Ipsum?</h2>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;""><strong style=""margin: 0px; padding: 0px;"">Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMa</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>
<p style=""margin: 0px 0px 15px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""../static/upload/1560257834831.png"" alt=""test"" width=""397"" height=""424"" /></p>","2019-06-11 19:57:30","2019-06-11 19:57:30"
"29","38","1","1","0","1","4","1","3","1","<p>&nbsp; wesdfesdxfc</p>
<p>&nbsp;</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://images.foodies.guru/a/1560259644305.jpg"" alt=""wers"" width=""624"" height=""335"" /></p>
<h2 style=""margin: 0px 0px 10px; padding: 0px; font-weight: 400; line-height: 24px; font-family: DauphinPlain; font-size: 24px; color: #000000; background-color: #ffffff; text-align: center;"">hat is Lorem Ipsum?</h2>
<p style=""margin: 0px 0px 15px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff; text-align: center;""><strong style=""margin: 0px; padding: 0px;"">Lorem Ipsum</strong>&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMa</p>
<p style=""margin: 0px 0px 15px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; background-color: #ffffff; text-align: center;"">&nbsp;</p>
<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 90%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">
<h2 style=""margin: 0px 0px 10px; padding: 0px; font-weight: 400; line-height: 24px; font-family: DauphinPlain; font-size: 24px; color: #000000; background-color: #ffffff;"">&nbsp;</h2>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>ewsdfrwsdtgredsxgverdfgv</strong></p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>ersdtgvresdgverdfg</strong></p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;"">&nbsp;</p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>ersdg</strong></p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>ve</strong></p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>rdfgv</strong></p>
<p style=""margin: 0px 0px 15px; padding: 0px; text-align: justify; color: #000000; font-size: 14px; background-color: #ffffff;""><strong>erdfg</strong></p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>&nbsp;</p>","2019-06-11 20:28:11","2019-06-11 20:28:11"
"30","39","36","1","0","3","4","5","5","4","<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 90%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">หาร้านยากมากกกกกก ต้องถามยาม อยู่ในซอกลืบบบเบยยย&nbsp; &gt;M&lt;</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""../static/upload/1560332986400.jpg"" alt=""fuku"" /></p>
<p><strong style=""margin: 0px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">orem Ipsum</strong><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of</span></p>
<p>&nbsp;</p>
<p><strong style=""margin: 0px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">orem Ipsum</strong><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong style=""margin: 0px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">orem Ipsum</strong><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of</span></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong style=""margin: 0px; padding: 0px; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">orem Ipsum</strong><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">&nbsp;is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of</span></p>","2019-06-12 16:50:47","2019-06-12 16:50:47"
"31","40","36","3","0","5","4","4","5","5","<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 90%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; height: 50px;"">
<p><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">is simply dummy text of the printing and typesetti wsad</span>is simply dummy text of the printing and typesettivwaszfcaszfc</p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
<p>wasfe</p>
<p>&nbsp;</p>
<p><span style=""color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify; background-color: #ffffff;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;"">is simply dummy text of the printing and typesetti</span></p>
<p>&nbsp;</p>
<p><span style=""background-color: #ffffff; color: #000000; font-family: 'Open Sans', Arial, sans-serif; font-size: 14px; text-align: justify;""><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://images.foodies.guru/a/1560334648400.jpg"" alt=""fuku"" /></span></p>
<p>&nbsp;</p>
<p style=""text-align: start;""><span style=""background-color: #ffffff; text-align: justify;""><span style=""color: #000000;""><span style=""font-size: 14px;"">fuku</span></span></span><span style=""color: #000000;""><span style=""font-size: 14px;"">fukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufukufuku</span></span></p>
<p style=""text-align: start;"">&nbsp;</p>
<div class=""banner_800_160-wrapper"" style=""text-align: center;"">
<table class=""banner_800_160"" style=""display: inline-block;"">
<tbody>
<tr>
<td style=""width: 800px; height: 160px; background-color: #ccc; text-align: center;"" width=""800px"" height=""160px"">800px*160</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>
</div>
<p style=""text-align: start;"">&nbsp;</p>","2019-06-12 17:18:12","2019-06-12 17:18:12"
"32","41","16","1","0","1","1","1","1","1","<table class=""spoil"" style=""outline: none; background-image: url('../static/images/spoil.svg'); background-repeat: no-repeat; background-size: 60px; padding: 10px 90px; background-position: 15px 50%; font-size: 12px; line-height: 23px; border: 1px dashed #efefef; width: 90%;"">
<tbody>
<tr>
<td style=""padding-left: 90px; line-height: 5px; min-height: 50px; display: block;"">
<p>wesfcwesfcewszfc</p>
<p>wasfdcewsfcwesfcwesfcwesf</p>
<p>wqasrdxweasf</p>
</td>
</tr>
</tbody>
</table>","2019-06-12 17:45:01","2019-06-12 17:45:01"
"33","42","10","1","0","1","1","1","2","1",,"2019-06-12 17:48:43","2019-06-12 17:48:43"
